user_id,event,timestamp,post_id,creator_id,failure_reason,signup_plan,kyc_status,payment_amount_gbp,payout_amount_gbp
U001G1OAY,profile_view,10/07/2025 19:07,PRCQFRRT5,C002,,,,,
U00Q74IDW,profile_view,2025-05-01 05:46:22,PGNVN4794,C002,,,,,
U00Q74IDW,signup_abandoned,2025-05-03 08:04:15,PGNVN4794,C002,captcha_fail,,,,
U00R21XHF,profile_view,2025-05-31T03:16:44.771989+00:00Z,PMDGJQV1D,C003,,,,,
U00SA9FJE,profile_view,1754512863042,PRB4CWXV4,C004,,,,,
U00SA9FJE,signup_abandoned,08/08/2025 17:34,PRB4CWXV4,C004,email_invalid,,,,
U0134J4JD,profile_view,1747217726345,PJHN997DK,C003,,,,,
U0134J4JD,signup_abandoned,2025-05-16T05:26:15.854165+00:00Z,PJHN997DK,C003,email_invalid,,,,
U01CFBXLR,profile_view,2025-05-25 00:27:31,PA2EIDWGL,C003,,,,,
U01Q1V2JG,profile_view,1756040144850,P5IQN5IBV,C001,,,,,
U0208MG9L,profile_view,13/04/2025 08:02,PSU16PWSS,C001,,,,,
U0208MG9L,signup,15/04/2025 07:36,PSU16PWSS,C001,,standard,,,
U0208MG9L,kyc_start,1744780991569,PSU16PWSS,C001,,,,,
U0208MG9L,kyc_complete,1745379451871,PSU16PWSS,C001,,,manual_review,,
U0208MG9L,first_payment,30/04/2025 20:03,PSU16PWSS,C001,,,,99.45,
U0208MG9L,first_payout,08/05/2025 09:24,PSU16PWSS,C001,,,,,98.53
U02OV129C,profile_view,31/05/2025 10:32,P279OBHP0,C004,,,,,
U02SOX2RS,profile_view,1755748600354,PG2031VLL,C001,,,,,
U02ZLU8YA,profile_view,2025-07-29 05:22:55,P9UOEF1DD,C003,,,,,
U02ZLU8YA,signup_abandoned,2025-08-01 03:21:52,P9UOEF1DD,C003,email_invalid,,,,
U037Q06DP,profile_view,2025-05-07 23:51:04,PC567DHEB,C002,,,,,
U037Q06DP,signup,2025-05-09 11:03:38,PC567DHEB,C002,,free,,,
